trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
947,80.11204481792718,20,162.7,explore,162.7,2400.0,2400.0
948,80.11204481792718,20,161.0,explore,161.0,2400.0,2400.0
949,80.11204481792718,-10,141.8,explore,141.8,2400.0,2400.0
950,80.11204481792718,-1,141.3,explore,141.3,2400.0,2400.0
951,80.11204481792718,20,158.4,explore,158.4,2400.0,2400.0
952,80.11204481792718,20,169.9,explore,169.9,2400.0,2400.0
953,80.11204481792718,20,124.1,explore,124.1,2400.0,2400.0
954,80.11204481792718,20,142.7,explore,142.7,2400.0,2400.0
955,80.11204481792718,-1,144.1,explore,144.1,2400.0,2400.0
956,80.11204481792718,-1,147.2,explore,147.2,2400.0,2400.0
957,80.11204481792718,20,137.8,explore,137.8,2400.0,2400.0
958,80.11204481792718,-10,150.1,explore,150.1,2400.0,2400.0
959,80.11204481792718,-1,160.2,explore,160.2,2400.0,2400.0
960,80.11204481792718,20,158.3,explore,158.3,2400.0,2400.0
961,80.11204481792718,-10,143.2,explore,143.2,2400.0,2400.0
962,80.11204481792718,20,154.5,explore,154.5,2400.0,2400.0
963,80.11204481792718,20,160.9,explore,160.9,2400.0,2400.0
964,80.11204481792718,20,127.4,explore,127.4,2400.0,2400.0
965,80.11204481792718,20,159.2,explore,159.2,2400.0,2400.0
966,80.11204481792718,-10,142.7,explore,142.7,2400.0,2400.0
967,80.11204481792718,20,119.0,explore,119.0,2400.0,2400.0
968,80.11204481792718,20,181.3,explore,181.3,2400.0,2400.0
969,80.11204481792718,-1,127.1,explore,127.1,2400.0,2400.0
970,80.11204481792718,20,131.0,explore,131.0,2400.0,2400.0
971,80.11204481792718,-10,168.4,explore,168.4,2400.0,2400.0
972,80.11204481792718,20,131.0,explore,131.0,2400.0,2400.0
973,80.11204481792718,20,144.8,explore,144.8,2400.0,2400.0
974,80.11204481792718,-10,156.1,explore,156.1,2400.0,2400.0
975,80.11204481792718,20,133.1,explore,133.1,2400.0,2400.0
976,80.11204481792718,-1,179.2,explore,179.2,2400.0,2400.0
977,80.11204481792718,20,124.6,explore,124.6,2400.0,2400.0
978,80.11204481792718,20,153.5,explore,153.5,2400.0,2400.0
979,80.11204481792718,20,123.5,explore,123.5,2400.0,2400.0
980,80.11204481792718,20,155.5,explore,155.5,2400.0,2400.0
981,80.11204481792718,-10,168.5,explore,168.5,2400.0,2400.0
982,80.11204481792718,20,193.9,explore,193.9,2400.0,2400.0
983,80.11204481792718,20,121.4,explore,121.4,2400.0,2400.0
984,80.11204481792718,20,111.6,explore,111.6,2400.0,2400.0
985,80.11204481792718,-1,145.5,explore,145.5,2400.0,2400.0
986,80.11204481792718,20,136.8,explore,136.8,2400.0,2400.0
987,80.11204481792718,20,167.1,explore,167.1,2400.0,2400.0
988,80.11204481792718,20,147.6,explore,147.6,2400.0,2400.0
989,80.11204481792718,20,151.0,explore,151.0,2400.0,2400.0
990,80.11204481792718,20,141.1,explore,141.1,2400.0,2400.0
991,80.11204481792718,20,144.8,explore,144.8,2400.0,2400.0
992,80.11204481792718,20,151.8,explore,151.8,2400.0,2400.0
993,80.11204481792718,-10,139.7,explore,139.7,2400.0,2400.0
994,80.11204481792718,20,119.9,explore,119.9,2400.0,2400.0
995,80.11204481792718,-1,160.3,explore,160.3,2400.0,2400.0
996,80.11204481792718,20,154.3,explore,154.3,2400.0,2400.0
997,80.11204481792718,20,141.1,explore,141.1,2400.0,2400.0
998,80.11204481792718,20,146.2,explore,146.2,2400.0,2400.0
999,80.11204481792718,20,156.9,explore,156.9,2400.0,2400.0
1000,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1001,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1002,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1003,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1004,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1005,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1006,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1007,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1008,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
1009,80.11204481792718,-1,200.0,exploit,200.0,2400.0,2400.0
