trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
741,67.47899159663866,-1,200.0,explore,200.0,2399.1,2094.0
742,67.5140056022409,-1,200.0,explore,200.0,2399.3,2094.6
743,67.5140056022409,-1,197.2,explore,197.2,2399.3,2094.8
744,67.55602240896357,-10,200.0,explore,200.0,2399.1,2095.5
745,67.63305322128852,-1,193.5,explore,193.5,2399.3,2097.1
746,67.68207282913166,-10,185.9,explore,185.9,2399.4,2098.5
747,67.69607843137256,-1,200.0,explore,200.0,2399.2,2098.8
748,67.70308123249302,-10,192.7,explore,192.7,2399.1,2099.1
749,67.71008403361346,-1,200.0,explore,200.0,2399.1,2099.2
750,67.75210084033615,-10,196.4,explore,196.4,2399.2,2099.9
751,67.75210084033615,-10,200.0,explore,200.0,2399.2,2099.9
752,67.78711484593836,-1,188.7,explore,188.7,2399.4,2100.5
753,67.81512605042016,-1,194.9,explore,194.9,2399.3,2101.1
754,67.87114845938373,-1,200.0,explore,200.0,2399.1,2102.1
755,67.8781512605042,-10,196.4,explore,196.4,2399.1,2102.5
756,67.94117647058825,-1,200.0,explore,200.0,2399.2,2103.9
757,68.01820728291315,-10,194.1,explore,194.1,2399.2,2105.4
758,68.02521008403362,-10,200.0,explore,200.0,2399.1,2105.5
759,68.11624649859944,-1,200.0,explore,200.0,2399.1,2107.3
760,68.1652661064426,-1,200.0,explore,200.0,2399.1,2108.3
761,68.17226890756301,-1,200.0,explore,200.0,2399.1,2108.4
762,68.27731092436974,-1,191.9,explore,191.9,2399.1,2110.0
763,68.35434173669466,-1,194.8,explore,194.8,2399.1,2111.7
764,68.36834733893556,-10,199.8,explore,199.8,2399.1,2112.1
765,68.42436974789916,-1,197.8,explore,197.8,2399.1,2113.1
766,68.45238095238093,20,186.0,explore,186.0,2399.1,2113.9
767,68.48039215686273,-10,200.0,explore,200.0,2399.1,2114.6
768,68.50840336134453,-1,200.0,explore,200.0,2399.1,2115.2
769,68.55042016806723,-10,200.0,explore,200.0,2399.1,2116.1
770,68.55742296918768,-1,200.0,explore,200.0,2399.1,2116.2
771,68.55742296918768,-1,200.0,explore,200.0,2399.1,2116.4
772,68.60644257703082,-1,191.9,explore,191.9,2399.1,2117.3
773,68.6624649859944,-1,195.5,explore,195.5,2399.1,2118.4
774,68.71148459383755,-1,200.0,explore,200.0,2399.1,2119.5
775,68.74649859943979,-10,200.0,explore,200.0,2399.1,2120.8
776,68.74649859943979,-10,200.0,explore,200.0,2399.1,2120.8
777,68.83753501400562,-1,190.2,explore,190.2,2399.1,2122.5
778,68.85854341736696,-1,186.6,explore,186.6,2399.1,2122.9
779,68.90756302521008,-1,200.0,explore,200.0,2399.1,2123.9
780,68.94957983193278,-10,187.5,explore,187.5,2399.1,2124.8
781,69.01260504201682,-1,200.0,explore,200.0,2399.1,2126.3
782,69.05462184873949,-1,199.5,explore,199.5,2399.1,2127.1
783,69.08963585434174,-10,200.0,explore,200.0,2399.1,2127.7
784,69.08963585434174,-1,200.0,explore,200.0,2399.1,2127.7
785,69.15966386554622,-1,193.8,explore,193.8,2399.4,2129.3
786,69.16666666666667,-1,200.0,explore,200.0,2399.4,2129.4
787,69.22268907563026,-10,200.0,explore,200.0,2399.2,2130.6
788,69.22268907563026,-1,185.7,explore,185.7,2399.2,2130.6
789,69.2436974789916,-1,200.0,explore,200.0,2399.2,2131.0
790,69.29271708683476,-1,183.3,explore,183.3,2399.2,2132.0
791,69.31372549019608,20,192.5,explore,192.5,2399.2,2132.6
792,69.34173669467785,-1,183.4,explore,183.4,2399.2,2133.0
793,69.39775910364145,-1,200.0,explore,200.0,2399.2,2133.8
794,69.4187675070028,-10,200.0,explore,200.0,2399.2,2134.2
795,69.44677871148458,-10,200.0,explore,200.0,2399.2,2134.9
796,69.46778711484593,-1,200.0,explore,200.0,2399.2,2135.4
797,69.50980392156862,-1,192.5,explore,192.5,2399.2,2136.6
798,69.55882352941174,-10,200.0,explore,200.0,2399.2,2137.4
799,69.55882352941174,-1,184.5,explore,184.5,2399.2,2137.5
800,69.57282913165264,-1,194.5,explore,194.5,2399.2,2138.1
801,69.593837535014,-1,200.0,explore,200.0,2399.2,2138.6
802,69.593837535014,-1,200.0,explore,200.0,2399.2,2138.6
803,69.62885154061622,-1,181.3,explore,181.3,2399.3,2139.4
804,69.67086834733892,-1,191.7,explore,191.7,2399.7,2140.9
805,69.68487394957984,-1,200.0,explore,200.0,2399.6,2141.1
806,69.70588235294119,-1,196.7,explore,196.7,2399.6,2141.6
807,69.71288515406162,-1,200.0,explore,200.0,2399.4,2142.2
808,69.76190476190476,20,199.8,explore,199.8,2399.5,2144.0
809,69.76890756302521,-10,200.0,explore,200.0,2399.5,2144.5
810,69.77591036414566,-1,200.0,explore,200.0,2399.5,2144.8
811,69.83193277310923,-1,200.0,explore,200.0,2399.5,2145.7
812,69.85294117647061,-1,200.0,explore,200.0,2399.5,2146.7
813,69.91596638655463,-10,200.0,explore,200.0,2399.4,2148.3
814,69.97899159663864,-1,198.6,explore,198.6,2399.4,2149.7
815,70.03501400560224,-10,188.6,explore,188.6,2399.5,2150.8
816,70.08403361344537,-10,200.0,explore,200.0,2399.4,2151.5
817,70.16106442577032,20,198.7,explore,198.7,2399.4,2153.2
818,70.18907563025209,-1,189.5,explore,189.5,2399.6,2153.8
819,70.21708683473389,20,193.5,explore,193.5,2399.5,2154.4
820,70.23109243697479,-1,200.0,explore,200.0,2399.5,2154.9
821,70.23809523809523,-1,200.0,explore,200.0,2399.5,2155.0
822,70.25210084033611,-10,200.0,explore,200.0,2399.5,2155.2
823,70.32212885154061,-1,197.9,explore,197.9,2399.6,2156.4
824,70.36414565826331,-10,192.1,explore,192.1,2399.6,2157.1
825,70.3921568627451,-1,183.2,explore,183.2,2399.5,2157.8
826,70.406162464986,-1,194.6,explore,194.6,2399.5,2158.0
827,70.44117647058823,-1,191.4,explore,191.4,2399.5,2158.7
828,70.51820728291317,-10,198.6,explore,198.6,2399.5,2160.4
829,70.51820728291317,-10,200.0,explore,200.0,2399.5,2160.4
830,70.61624649859944,-1,200.0,explore,200.0,2399.5,2162.4
831,70.61624649859944,-1,200.0,explore,200.0,2399.5,2162.4
832,70.62324929971989,-1,200.0,explore,200.0,2399.5,2162.5
833,70.62324929971989,-1,200.0,explore,200.0,2399.5,2162.5
834,70.71428571428571,-1,187.5,explore,187.5,2399.5,2164.2
835,70.7563025210084,-1,200.0,explore,200.0,2399.5,2165.1
836,70.7703081232493,-1,200.0,explore,200.0,2399.5,2165.3
837,70.7843137254902,-1,188.6,explore,188.6,2399.5,2165.7
838,70.86834733893558,-1,200.0,explore,200.0,2399.7,2167.3
839,70.92436974789915,-10,195.7,explore,195.7,2399.7,2168.4
840,70.9593837535014,-1,160.9,explore,160.9,2399.5,2169.1
841,70.9593837535014,-10,200.0,explore,200.0,2399.5,2169.1
842,70.9593837535014,-10,185.8,explore,185.8,2399.5,2169.2
843,70.96638655462185,-10,198.6,explore,198.6,2399.6,2169.5
844,71.0014005602241,-10,200.0,explore,200.0,2399.6,2170.1
845,71.0014005602241,-1,193.9,explore,193.9,2399.5,2170.1
846,71.02240896358543,-1,200.0,explore,200.0,2399.5,2170.7
847,71.09243697478993,-10,200.0,explore,200.0,2399.5,2171.8
848,71.10644257703082,-1,200.0,explore,200.0,2399.5,2172.1
849,71.16246498599439,-10,200.0,explore,200.0,2399.5,2173.0
850,71.16246498599439,-1,200.0,explore,200.0,2399.5,2173.1
851,71.19747899159663,-1,200.0,explore,200.0,2399.5,2173.8
852,71.23249299719889,-1,183.8,explore,183.8,2399.5,2174.6
853,71.32352941176471,-1,200.0,explore,200.0,2399.5,2176.5
854,71.35154061624651,-10,196.6,explore,196.6,2399.5,2177.4
855,71.36554621848738,-10,194.8,explore,194.8,2399.5,2177.9
856,71.3795518207283,-1,193.1,explore,193.1,2399.5,2178.2
857,71.38655462184873,-1,195.9,explore,195.9,2399.5,2178.4
858,71.40756302521008,-1,200.0,explore,200.0,2399.5,2178.7
859,71.44957983193277,-1,200.0,explore,200.0,2399.5,2179.7
860,71.44957983193277,-10,195.5,explore,195.5,2399.5,2179.7
861,71.44957983193277,-1,200.0,explore,200.0,2399.5,2179.7
862,71.49859943977592,-10,200.0,explore,200.0,2399.5,2180.7
863,71.56162464985994,-1,200.0,explore,200.0,2399.7,2182.4
864,71.61764705882351,-1,190.5,explore,190.5,2399.5,2183.7
865,71.62464985994397,-1,200.0,explore,200.0,2399.5,2183.8
866,71.63865546218487,-1,183.6,explore,183.6,2399.5,2184.0
867,71.67366946778711,-1,200.0,explore,200.0,2399.5,2184.5
868,71.69467787114847,-1,185.6,explore,185.6,2399.5,2184.8
869,71.77170868347339,-1,200.0,explore,200.0,2399.5,2186.6
870,71.80672268907563,-1,200.0,explore,200.0,2399.5,2187.2
871,71.84173669467786,-1,200.0,explore,200.0,2399.5,2187.7
872,71.87675070028008,-1,200.0,explore,200.0,2399.5,2188.2
873,71.890756302521,-1,200.0,explore,200.0,2399.5,2188.5
874,71.9047619047619,-10,200.0,explore,200.0,2399.5,2189.0
875,71.9047619047619,-10,186.5,explore,186.5,2399.5,2189.1
876,71.92577030812325,-10,187.5,explore,187.5,2399.5,2189.4
877,71.96778711484592,-1,200.0,explore,200.0,2399.5,2190.0
878,71.9887955182073,-1,197.4,explore,197.4,2399.7,2190.5
879,72.00980392156863,-1,197.7,explore,197.7,2399.7,2191.4
880,72.02380952380953,-1,188.3,explore,188.3,2399.6,2191.7
881,72.03781512605043,-1,200.0,explore,200.0,2399.6,2191.9
882,72.05882352941177,-1,200.0,explore,200.0,2399.6,2192.4
883,72.10784313725489,-10,197.3,explore,197.3,2399.6,2193.6
884,72.13585434173669,-1,199.8,explore,199.8,2399.6,2194.0
885,72.21288515406162,-1,200.0,explore,200.0,2399.6,2195.3
886,72.2689075630252,-1,199.6,explore,199.6,2399.9,2196.7
887,72.27591036414566,-10,200.0,explore,200.0,2399.9,2197.0
888,72.27591036414566,-1,200.0,explore,200.0,2399.7,2197.0
889,72.3669467787115,-10,200.0,explore,200.0,2399.7,2198.7
890,72.3669467787115,-1,200.0,explore,200.0,2399.7,2198.7
891,72.37394957983193,20,194.9,explore,194.9,2399.7,2198.8
892,72.37394957983193,-10,200.0,explore,200.0,2399.7,2198.8
893,72.38795518207283,-1,191.1,explore,191.1,2399.8,2199.0
894,72.50000000000001,-1,193.7,explore,193.7,2399.7,2201.1
895,72.50700280112045,-1,200.0,explore,200.0,2399.7,2201.2
896,72.52801120448179,-1,188.2,explore,188.2,2399.7,2201.8
897,72.52801120448179,-1,194.0,explore,194.0,2399.7,2201.9
898,72.60504201680672,-10,189.1,explore,189.1,2399.7,2203.7
899,72.61204481792717,-1,197.9,explore,197.9,2399.7,2203.9
900,72.65406162464987,-10,200.0,explore,200.0,2399.7,2204.7
901,72.7170868347339,-1,200.0,explore,200.0,2399.7,2206.1
902,72.75210084033613,20,176.2,explore,176.2,2399.7,2206.8
903,72.76610644257704,-10,200.0,explore,200.0,2399.7,2207.0
904,72.78011204481793,-10,189.9,explore,189.9,2399.7,2207.4
905,72.80812324929971,-1,200.0,explore,200.0,2399.7,2208.0
906,72.82212885154061,-10,189.0,explore,189.0,2399.7,2208.5
907,72.87114845938376,20,184.9,explore,184.9,2399.7,2209.3
908,72.87114845938376,-1,194.7,explore,194.7,2399.7,2209.4
909,72.88515406162463,-1,200.0,explore,200.0,2399.7,2209.9
910,72.90616246498598,-1,200.0,explore,200.0,2399.7,2210.3
911,72.95518207282913,-1,200.0,explore,200.0,2399.7,2211.5
912,72.95518207282913,-1,200.0,explore,200.0,2399.7,2211.5
913,73.0532212885154,20,190.1,explore,190.1,2399.7,2213.8
914,73.08823529411762,-1,200.0,explore,200.0,2399.7,2214.5
915,73.08823529411762,-10,200.0,explore,200.0,2399.7,2214.5
916,73.12324929971989,-1,200.0,explore,200.0,2399.7,2215.4
917,73.13725490196079,-10,200.0,explore,200.0,2399.7,2215.8
918,73.15126050420169,-10,197.5,explore,197.5,2399.7,2216.3
919,73.15126050420169,-10,187.3,explore,187.3,2399.7,2216.4
920,73.15826330532214,-1,200.0,explore,200.0,2399.7,2216.5
921,73.15826330532214,-1,200.0,explore,200.0,2399.7,2216.6
922,73.15826330532214,-1,200.0,explore,200.0,2399.7,2216.7
923,73.20728291316526,-1,187.6,explore,187.6,2399.7,2217.8
924,73.23529411764704,-10,200.0,explore,200.0,2399.7,2218.2
925,73.32633053221288,-1,189.2,explore,189.2,2399.7,2220.5
926,73.33333333333334,-1,182.0,explore,182.0,2399.7,2220.9
927,73.40336134453781,-10,192.2,explore,192.2,2399.7,2222.1
928,73.40336134453781,-1,200.0,explore,200.0,2399.7,2222.1
929,73.40336134453781,-1,200.0,explore,200.0,2399.7,2222.1
930,73.40336134453781,-10,200.0,explore,200.0,2399.7,2222.1
931,73.43837535014005,-10,200.0,explore,200.0,2399.7,2222.8
932,73.44537815126048,-1,200.0,explore,200.0,2399.7,2223.0
933,73.45238095238095,-10,187.4,explore,187.4,2399.7,2223.2
934,73.45238095238095,-1,189.3,explore,189.3,2399.7,2223.6
935,73.52941176470587,-1,200.0,explore,200.0,2399.7,2224.9
936,73.57843137254902,-1,199.2,explore,199.2,2399.7,2225.8
937,73.58543417366947,-1,200.0,explore,200.0,2399.7,2226.2
938,73.58543417366947,-1,200.0,explore,200.0,2399.7,2226.2
939,73.58543417366947,-1,194.8,explore,194.8,2399.7,2226.3
940,73.62745098039215,-10,198.7,explore,198.7,2399.7,2227.1
941,73.63445378151262,-1,200.0,explore,200.0,2399.7,2227.3
942,73.65546218487393,-10,200.0,explore,200.0,2399.8,2227.6
943,73.66946778711483,-10,200.0,explore,200.0,2399.8,2227.8
944,73.68347338935573,20,192.7,explore,192.7,2399.7,2228.2
